scenario,Year,Beef,Dairy,Pork,Poultry,SheepGoat,Units
ssp126,2025,13.96631,105.64099999999999,12.500630000000001,30.9148,0.09144398,Mt
ssp245,2025,14.1047,106.13391,12.61177,31.35273,0.09556175,Mt
ssp445,2025,13.92153,105.2029,12.48181,31.10461,0.09678993999999999,Mt
ssp585,2025,14.940560000000001,110.61917,13.09913,32.66564,0.09711949,Mt
ssp126,2030,14.73649,110.28673,13.00959,32.22632,0.09456598999999999,Mt
ssp245,2030,14.98716,111.06017,13.15361,32.90317,0.10222965,Mt
ssp445,2030,14.6507,109.43706,12.96197,32.51442,0.10383441,Mt
ssp585,2030,16.524189999999997,119.12357,14.04018,35.26794,0.10460766,Mt
ssp126,2035,15.37396,114.54612,13.44486,33.35805,0.09568856,Mt
ssp245,2035,15.7943,115.64931,13.66377,34.33017,0.10815181,Mt
ssp445,2035,15.25412,113.1842,13.34892,33.7109,0.1096114,Mt
ssp585,2035,18.12008,127.8784,15.03202,37.95431,0.11083417,Mt
ssp126,2040,15.8951,118.60287,14.00087,34.68418,0.09445918999999998,Mt
ssp245,2040,16.54618,120.03828,14.20544,35.82479,0.11334444,Mt
ssp445,2040,15.75957,116.53568,13.83758,35.0441,0.11414579,Mt
ssp585,2040,19.603650000000002,136.7294,16.06481,40.70527,0.1147151,Mt
ssp126,2045,16.25278,122.18759,14.50065,35.88297,0.09130218,Mt
ssp245,2045,17.25092,124.2299,14.77211,37.38635,0.11739739,Mt
ssp445,2045,16.14593,119.33554,14.27729,36.2688,0.11728116,Mt
ssp585,2045,20.967619999999997,145.6231,17.0897,43.41792,0.1164452,Mt
ssp126,2050,16.474330000000002,125.25263,14.86921,36.770970000000005,0.08779946,Mt
ssp245,2050,17.90438,128.2132,15.27534,38.79697,0.12166201,Mt
ssp445,2050,16.4171,121.56873,14.5724,37.18794,0.11997908,Mt
ssp585,2050,22.21942,154.579,18.07427,46.00469,0.11669913000000001,Mt
ssp126,2055,16.68835,128.19604999999999,15.174009999999999,37.596869999999996,0.08499314000000001,Mt
ssp245,2055,18.65978,132.2684,15.73333,40.17376,0.126617,Mt
ssp445,2055,16.76062,123.65351,14.83082,38.05142,0.12416319,Mt
ssp585,2055,23.508580000000002,163.9613,19.05976,48.70099,0.11687623999999999,Mt
ssp126,2060,16.84893,130.94083,15.41969,38.28212,0.08239585,Mt
ssp245,2060,19.44478,136.4214,16.17263,41.49128,0.13181465,Mt
ssp445,2060,17.07009,125.5742,15.02037,38.76515,0.12863737,Mt
ssp585,2060,24.73339,173.5204,20.02667,51.34847,0.11654895,Mt
